0	0	0	0
1.948	0.00351	1.948	0.00351
3.656	0.27028	3.656	0.27028
4.251	0.29138	4.251	0.29138
4.75	0.30198	4.75	0.30198
5.255	0.31127	5.255	0.31127
6.306	0.32484	6.306	0.32484
7.432	0.33843	7.432	0.33843
8.726	0.35027	8.726	0.35027
9.807	0.36073	9.807	0.36073
10	0.36933	10	0.36933
10.19	0.39478	10.19	0.39478
10.32	0.42849	10.32	0.42849
10.34	0.45347	10.34	0.45347
10.42	0.51283	10.42	0.51283
10.46	0.58358	10.46	0.58358
10.49	0.65385	10.49	0.65385
10.53	0.74068	10.53	0.74068
10.56	0.82656	10.56	0.82656
10.58	0.8436	10.58	0.8436
10.6	0.86064	10.6	0.86064
10.67	0.87752	10.67	0.87752
10.95	0.89384	10.95	0.89384
11.32	0.9096	11.32	0.9096
11.69	0.92448	11.69	0.92448
13.91	1.01152	13.91	1.01152
14.59	1.03688	14.59	1.03688
17.19	1.12856	17.19	1.12856
20.13	1.22832	20.13	1.22832
23.44	1.3348	23.44	1.3348
24.57	1.37072	24.57	1.37072
29	1.50952	29	1.50952
34.9	1.64848	34.9	1.64848
38.44	1.79064	38.44	1.79064
42.65	1.9344	42.65	1.9344
44.98	2.02696	44.98	2.02696
49.35	2.194	49.35	2.194
53.55	2.35728	53.55	2.35728
56.83	2.54584	56.83	2.54584
58.41	2.64136	58.41	2.64136
61.63	2.8624	61.63	2.8624
63.11	2.93136	63.11	2.93136
66.07	3.15536	66.07	3.15536
67.93	3.34552	67.93	3.34552
100	3.35	100	3.35
